level,title,owner,trigger,sla,next_level,notification_channel
L0,معالجة داخل المسار,قائد المسار,ملاحظة عادية أو نقص بيانات,12 ساعة,L1,Slack
L1,تصعيد تشغيلي,منذر الأنصاري + أحمد المحيسن,تأخر تحديث أو عائق تشغيلي,24 ساعة,L2,Slack + Email
L2,تصعيد PMO/جودة,أحمد العمودي + بندر الهضيبة,اعتماد متأخر أو خطر متوسط/مرتفع,48 ساعة,L3,Slack + Email
L3,تصعيد تنفيذي داخلي,عبدالعزيز العبيد,أثر مباشر على الجدول أو جودة المرجع,نفس اليوم,L4,DM + Email
L4,بوابة خارجية,سارة الشهري,تصريح أو جهة حكومية أو اعتماد أمانة,فوري وموثق,PMO,Email رسمي
